Id,Title,Description,Date,Duration,Type,Session,Track,Presenters,Materials,Authors,Co-Authors
20,The digital plasma lab: How supercomputers aid in the development of novel particle accelerators,,,20 minutes,Poster,Poster Session,,Klaus Steiniger,,Klaus Steiniger,"Alexander Debus, Michael Bussmann, Richard Pausch, Rene Widera, Sergei Bastrakov"
21,Development of a new B-Mapping System for SRF Cavity Vertical Tests,,,20 minutes,Poster,Poster Session,,Jonas Wolff,,Jonas Wolff,"Andre Goessel, Carsten Mueller, Detlef Reschke, Lea Steder, Dimitri Tischhauser, Wolfgang Hillert"
22,Data-driven Surrogate Modeling of Matter under Extreme Conditions with the Materials Learning Algorithms Package (MALA),,,20 minutes,Poster,Poster Session,,Attila Cangi,,"Lenz Fiedler, Daniel Kotik, Steve Schmerler, Attila Cangi",
23,Gas-dynamic density downramp injection in a beam-driven plasma wakefield accelerator,,,20 minutes,Poster,Poster Session,,Jurjen Couperus Cabadag,,Jurjen Couperus Cabadag,"Richard Pausch, Susanne Schoebel, Michael Bussmann, Y.-Y. Chang, S. Corde, Alexander Debus, H.  Ding, Andreas Döpp, F. M. Foerster, M. Gilljohann, F. Haberstroh, Thomas Heinemann, Bernhard Hidding, Stefan Karsch, Alexander Köhler, O. Kononenko, Alexander Knetsch, Thomas Kurz, Alberto Martinez de la Ossa, Alastair Nutter, G. Raj, Klaus Steiniger, Ulrich Schramm, P. Ufer, Arie Irman"
26,Quantum computers today and tomorrow,,,20 minutes,Poster,Poster Session,,Francesco Valenti,,Francesco Valenti,
27,High-quality electron beams from internal injection in a plasma-wakefield accelerator,,,20 minutes,Poster,Poster Session,,Lewis Boulton,,Lewis Boulton,
32,NITROGEN INFUSION SAMPLE R&D AT DESY,,,20 minutes,Poster,Poster Session,,Christopher Bate,,Christopher Bate,"Arti Dangwal Pandey, Alexey Ermakov, Brian Foster, Wolfgang Hillert, Thomas F. Keller, Detlef Reschke, Joern Schaffran, Sven Thorsten Sievers, Andreas Stierle, Hans Weise, Marc Wenskat"
33,A low-budget transmission ionization chamber suitable for Flash-irradiations up to 1000 Gy/s,,,20 minutes,Poster,Poster Session,,Andrea Denker,https://indico.desy.de/event/29414/contributions/105216/attachments/66266/82037/Poster_Denker.pdf,"Sebastian Gerke, Andrea Denker, Timo Fanselow, Georgios Kourkafas, Andreas Weber, Jens Heufelder",
34,Belle II L1 Preprocessing and Neuronal Network Track Trigger,,,20 minutes,Poster,Poster Session,,Steffen Bähr,,Kai  Lukas Unger,Steffen Bähr
35,Designing an impedance manipulation structure for KARA,,,20 minutes,Poster,Poster Session,,Sebastian Maier,,Sebastian Maier,"Miriam Brosi, Akira Mochihshi, Michael Nasse, Markus Schwarz, Anke-Susanne Mueller"
37,Prototype Design of Timing and Fast Control in the CBM experiment,,,20 minutes,Poster,Poster Session,,Vladimir Sidorenko,,Vladimir Sidorenko,"Steffen Baehr, Walter F.J. Müller, Jürgen Becker"
38,FairMQ and DDS: Software for High-throughput Distributed Data Analysis,,,20 minutes,Poster,Poster Session,,Dmytro Kresan,,"Dmytro Kresan, Mohammad Al-Turany, Radoslaw Karabowicz, Dennis Klein, Andrey Lebedev, Anar Manafov, Alexey Rybalchenko, Christian Tacke, Florian Uhlig",
39,Pre-commissioning of the STS1 Detector for the FAIR Phase-0 Experiments with HADES,,,20 minutes,Poster,Poster Session,,Gabriela Perez,,Gabriela Perez,
40,Generation of intense 0.6 MeV/u carbon bunches for stopping power experiments with the LIGHT beamline,,,20 minutes,Poster,Poster Session,,Martin Metternich,,Martin Metternich,
41,Compact and Robust Ultra-Low Timing Jitter Fiber Laser Oscillator,,,20 minutes,Poster,Poster Session,,Yi Hua,,Yi Hua,"Yuxuan Ma, Ingmar Hartl, Sarper Salman, Chen Li, Christoph Mahnke, Stefan Droste, Jakob Fellinger, Aline Mayer, Heckl Oliver, Christoph Heyl"
42,Drift feedback with femtosecond arrival time stability for the pump probe laser system at the FLASH free electron laser,,,20 minutes,Poster,Poster Session,,"Nora Schirmel, Sebastian Schulz, Bastian Manschwetus",,"Nora Schirmel, Sebastian Schulz, Uwe Große-Wortmann, Frederik Kuschewski, Bastian Manschwetus, Christian Mohr, Jost Mueller, Holger Schlarb, Ingmar Hartl",
43,The 3D Track Finder for the Belle II Trigger,,,20 minutes,Poster,Poster Session,,Sebastian Skambraks,,Sebastian Skambraks,
44,SUPERCONDUCTING SOLENOID FIELD MEASUREMENT AND OPTIMAZATION,,,20 minutes,Poster,Poster Session,,Shuai Ma,,"Shuai Ma, André Arnold, Anton Ryzhov, Jochen Teichert, Rong Xiang, Houjun Qian, Jana Schaber, Petr  Murcek, Paul Zwartek",
51,Status of the New Quadrupole Resonator for SRF R&D,,,20 minutes,Poster,Poster Session,,Ricardo Monroy Villa,,"Ricardo Monroy Villa, Wolfgang Hillert, Detlef Reschke, Shahnam Gorgi Zadeh, Marc Wenskat, Martin Lemke, Piotr Putek, Jan-Hendrik Thie, Maike Roehling",
52,Status of the THz@PITZ Project - the Proof-of-Principle Experiment on a THz SASE FEL at the PITZ Facility,,,20 minutes,Poster,Poster Session,,Tobias Weilbach,,Tobias Weilbach,"Anne Oppelt, Anusorn Lueangaramwong, Frank Stephan, Frieder Mueller, Georgi Georgiev, Gerald Koss, Mikhail Krasilnikov, Prach Boonpornprasert, Sebastian Philipp, Xiangkun LI"
